Hyperbolic rotation test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 10
Number format               : q3.28
CORDIC iteration logging    : OFF
Test logging                : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,  error ang
73 :   0.702382,  -2.571961, -57.852974 |   3.446267,  -4.011451,    0.000000 | 6.273183e-04, 5.387578e-04,   0.008968 :       OK
74 :  -2.136126,   5.360576, -30.756091 |  -4.538140,   6.102340,    0.000000 | 5.735926e-03, 4.263989e-03,   0.053881 :       OK
75 :   3.161557,  -4.302708, -37.243658 |   5.685139,  -6.179455,    0.000000 | 3.998124e-03, 3.678656e-03,   0.037051 :       OK
76 :  -4.574075,  -7.421524,   6.251107 |  -4.491308,  -6.609851,    0.000000 | 1.220647e+01, 1.290129e+01,  25.221816 : Overflow
77 :   7.019621,   1.361269, -17.123246 |   5.744191,  -0.586421,    0.000000 | 2.848973e-04, 2.775384e-03,   0.027682 :       OK
78 :   5.457995,   4.826201,  10.853757 |   5.373618,   4.939838,    0.000000 | 3.058889e-03, 3.327809e-03,   0.035501 :       OK
79 :   2.008802,   5.507421,  -4.335150 |   1.325536,   4.456805,    0.000000 | 1.295497e-03, 3.861181e-04,   0.016651 :       OK
80 :  -1.084066,   5.338840,  45.962001 |   2.742523,   5.132036,    0.000000 | 4.940373e-03, 2.637821e-03,   0.055175 :       OK
81 :   1.563572,  -4.030822,  -6.959537 |   1.714277,  -3.527389,    0.000000 | 2.816786e-03, 1.370227e-03,   0.045740 :       OK
82 :  -3.133831,   3.261654, -37.122320 |  -5.044378,   5.099865,    0.000000 | 4.139962e-03, 4.094972e-03,   0.046484 :       OK
83 :   2.578468,   1.948714,   2.983900 |   2.226717,   1.730677,    0.000000 | 2.537685e-04, 3.266962e-04,   0.008414 :       OK
84 :   5.848682,   0.457038,  -9.586433 |   4.857468,  -0.431232,    0.000000 | 5.317463e-05, 6.081213e-04,   0.007174 :       OK
85 :   4.751653,  -4.749757,  23.574297 |   2.613540,  -2.611165,    0.000000 | 1.979385e-03, 1.981187e-03,   0.043407 :       OK
86 :  -3.590120,   0.845259, -31.544955 |  -3.847997,   2.534655,    0.000000 | 1.114391e-02, 1.688586e-02,   0.251058 :       OK
87 :  -3.867573,  -0.032736,  27.286151 |  -3.593527,  -1.617080,    0.000000 | 1.527127e-03, 3.397500e-03,   0.054186 :       OK
88 :   6.521123,  -1.477977,   7.638418 |   5.295283,  -0.513789,    0.000000 | 3.413956e-04, 3.539186e-03,   0.038297 :       OK
89 :   1.876485,   7.667602,  21.357366 |   4.093450,   7.403543,    0.000000 | 1.616836e+00, 1.479770e+01,  10.115557 : Overflow
90 :  -5.655627,   5.106867,  55.690952 |  -2.291130,   1.087546,    0.000000 | 4.892377e-04, 1.031681e-03,   0.025807 :       OK
91 :  -4.807155,   3.648156,  49.689339 |  -2.618358,   0.329148,    0.000000 | 1.432788e-04, 1.134477e-03,   0.024824 :       OK
92 :  -1.475554,  -3.726046, -19.872655 |  -0.204774,  -2.846412,    0.000000 | 1.779744e-03, 1.290404e-04,   0.035823 :       OK
93 :  -1.217197,   1.082131, -54.487939 |  -2.490794,   2.447493,    0.000000 | 9.676498e-05, 9.847936e-05,   0.002275 :       OK
94 :  -0.269121,   4.254800,  42.898294 |   2.608487,   4.383965,    0.000000 | 1.001251e-03, 5.952346e-04,   0.013092 :       OK
95 :  -4.582483,   1.557587, -31.012405 |  -5.107429,   3.646583,    0.000000 | 1.625813e-03, 2.276251e-03,   0.025525 :       OK
96 :  -4.338631,  -0.833467,  35.509635 |  -4.770533,  -3.205535,    0.000000 | 1.093556e-03, 1.628299e-03,   0.019565 :       OK
97 :  -0.919261,  -0.089759, -25.322331 |  -0.804504,   0.266329,    0.000000 | 3.307266e-05, 9.956171e-05,   0.007087 :       OK
98 :   1.201332,  -3.425362,   8.513184 |   0.583993,  -2.725076,    0.000000 | 2.521174e-03, 5.418167e-04,   0.053001 :       OK
99 :   2.660217,  -0.687807,  28.258258 |   2.188321,   0.491803,    0.000000 | 1.552309e-04, 6.926423e-04,   0.018138 :       OK
100 :   7.523367,  -1.716210,   7.805454 |   6.106167,  -0.584226,    0.000000 | 1.728681e-04, 1.794060e-03,   0.016833 :       OK
101 :   0.754540,  -7.019445,  20.507361 |  -1.462909,  -5.972783,    0.000000 | 1.990836e-04, 4.965276e-05,   0.001908 :       OK
102 :   5.973676,   7.441725, -50.461032 |   0.837534,   3.776486,    0.000000 | 8.025671e-04, 1.786445e-04,   0.012174 :       OK
103 :   1.494599,  -1.229572,  15.222014 |   1.009955,  -0.723119,    0.000000 | 4.817007e-04, 6.725091e-04,   0.038137 :       OK
104 :  -1.669915,  -3.576327,  13.132947 |  -2.108403,  -3.366270,    0.000000 | 2.085256e-03, 1.306778e-03,   0.035479 :       OK
105 :  -0.268596,  -4.206686, -18.957252 |   0.940933,  -3.608349,    0.000000 | 9.876620e-04, 2.568858e-04,   0.015686 :       OK
106 :  -4.033449,   2.664958, -20.019117 |  -4.341718,   3.541029,    0.000000 | 2.568370e-03, 3.148364e-03,   0.041528 :       OK
107 :  -3.879608,  -1.086147,  54.976380 |  -5.822129,  -4.934170,    0.000000 | 3.708159e-03, 4.376350e-03,   0.043089 :       OK
108 :  -2.954324,   1.395624, -16.608260 |  -2.895564,   1.927647,    0.000000 | 1.024085e-03, 1.537587e-03,   0.030413 :       OK
109 :  -5.221470,   0.329555,  41.436674 |  -5.300526,  -3.065655,    0.000000 | 3.878847e-04, 6.716794e-04,   0.007266 :       OK
110 :   1.106757,  -5.234665,   8.561617 |   0.277159,  -4.254472,    0.000000 | 7.774957e-04, 4.990673e-05,   0.010471 :       OK
111 :  -3.819505,  -0.154480,  21.973997 |  -3.455686,  -1.383251,    0.000000 | 2.391918e-04, 5.988328e-04,   0.009933 :       OK
112 :   7.289809,   4.097268,  10.537717 |   6.780366,   4.576294,    0.000000 | 1.344192e+01, 3.165879e+00,  20.935207 : Overflow
113 :   1.653854,   1.074305,  50.564959 |   2.835250,   2.636284,    0.000000 | 1.925742e-04, 2.071821e-04,   0.004195 :       OK
114 :   5.211938,   5.863403, -10.276259 |   3.517210,   4.163975,    0.000000 | 1.276026e-03, 1.078072e-03,   0.017548 :       OK
115 :   1.720550,  -2.122219,  44.298538 |   0.374810,  -1.096930,    0.000000 | 7.959978e-04, 2.715842e-04,   0.041586 :       OK
116 :   1.556209,   1.439261, -16.821228 |   0.991685,   0.861531,    0.000000 | 1.063233e-03, 1.223599e-03,   0.070649 :       OK
117 :   3.498369,  -4.764614, -42.618820 |   6.963303,  -7.462690,    0.000000 | 5.547718e-03, 5.176904e-03,   0.042570 :       OK
118 :  -1.123347,  -6.021542, -42.884773 |   2.893281,  -5.698058,    0.000000 | 4.312991e-05, 2.256356e-05,   0.000429 :       OK
119 :  -7.805371,  -0.609229,  -0.442572 |  -6.473042,  -0.455513,    0.000000 | 1.229350e-02, 2.353376e-01,   2.085288 :       OK
120 :  -7.179229,  -6.780101, -40.061796 |  -3.211498,  -2.545091,    0.000000 | 1.092475e-03, 1.378910e-03,   0.024612 :       OK
121 :   5.192659,  -5.051114,  48.883642 |   1.948601,  -1.672930,    0.000000 | 7.244238e-05, 8.428467e-05,   0.002470 :       OK
122 :  -4.415870,   7.879552,   3.566052 |  -3.264104,   6.322770,    0.000000 | 3.424350e-03, 1.769232e-03,   0.031022 :       OK
123 :   2.121231,   4.538509, -55.754861 |  -1.609658,   3.698024,    0.000000 | 2.458637e-03, 1.069044e-03,   0.038103 :       OK
124 :  -0.258205,   5.720974,  10.820659 |   0.683783,   4.791365,    0.000000 | 2.007814e-04, 2.790068e-05,   0.002402 :       OK
125 :   2.182549,   4.164950,  56.218179 |   6.716949,   7.333586,    0.000000 | 6.879724e-03, 6.300537e-03,   0.053781 :       OK
126 :   3.279622,   0.131742,   8.628670 |   2.768814,   0.521945,    0.000000 | 5.057105e-04, 2.673871e-03,   0.055325 :       OK
127 :   4.911205,  -7.858021,  -3.982654 |   4.538680,  -6.819699,    0.000000 | 1.169847e+01, 1.250608e+01,  27.490270 : Overflow
128 :   0.194252,  -0.572263, -41.163635 |   0.575875,  -0.728792,    0.000000 | 5.339854e-04, 4.220583e-04,   0.041961 :       OK
129 :   5.701588,  -3.142108,   8.301543 |   4.401732,  -1.946796,    0.000000 | 1.585770e-03, 3.589394e-03,   0.046734 :       OK
130 :  -7.575019,  -1.795114,  -1.238847 |  -6.254871,  -1.353983,    0.000000 | 2.887984e-02, 1.403880e-01,   1.289013 :       OK
131 :  -3.682665,   7.408304, -16.899329 |  -5.029229,   7.331041,    0.000000 | 2.357588e+00, 1.408141e+01,  14.573595 : Overflow
132 :  -0.146318,   3.515500,  40.311261 |   2.073205,   3.576716,    0.000000 | 6.448140e-05, 3.699652e-05,   0.001038 :       OK
133 :  -6.451231,  -5.537918, -29.834275 |  -3.592982,  -2.317355,    0.000000 | 1.106353e-03, 1.714471e-03,   0.027330 :       OK
134 :  -4.466833,  -2.362510,   0.181346 |  -3.712719,  -1.972109,    0.000000 | 8.390373e-02, 1.537491e-01,   2.346514 :       OK
135 :   5.007903,   6.296630, -52.324160 |   0.549196,   3.214427,    0.000000 | 1.528229e-03, 2.602430e-04,   0.027243 :       OK
136 :   0.359198,   7.035064, -12.936535 |  -1.023578,   5.919127,    0.000000 | 8.348510e-04, 1.453372e-04,   0.008079 :       OK
137 :  -1.884768,   0.474228, -59.214258 |  -2.959244,   2.542842,    0.000000 | 1.208692e-03, 1.406863e-03,   0.027253 :       OK
138 :  -6.100794,  -3.315062, -19.578646 |  -4.402397,  -1.149227,    0.000000 | 6.879556e-04, 2.640719e-03,   0.034373 :       OK
139 :  -1.399966,   0.292565, -25.533646 |  -1.390746,   0.802272,    0.000000 | 2.745568e-04, 4.755928e-04,   0.019586 :       OK
140 :  -2.227339,  -1.226768, -11.590820 |  -1.678816,  -0.662407,    0.000000 | 1.257666e-04, 3.193986e-04,   0.010905 :       OK
141 :   2.470743,  -2.809001,  57.677918 |   0.416452,  -1.184527,    0.000000 | 1.119581e-03, 3.929764e-04,   0.054166 :       OK
142 :   2.462354,   5.229936,  17.698795 |   3.503442,   5.189645,    0.000000 | 1.057110e-03, 7.141463e-04,   0.011664 :       OK
143 :  -5.903521,  -4.008022,   3.384010 |  -5.103722,  -3.621077,    0.000000 | 2.474023e-03, 3.485615e-03,   0.039115 :       OK
144 :   2.268688,  -5.249306, -41.905122 |   5.886313,  -7.076554,    0.000000 | 3.465765e-03, 2.882238e-03,   0.028074 :       OK
145 :   3.325673,  -0.137195,  41.951354 |   3.441930,   2.060229,    0.000000 | 1.353271e-03, 2.259465e-03,   0.037599 :       OK
146 :  -0.989720,  -3.280107, -41.112013 |   1.083039,  -2.811861,    0.000000 | 8.990694e-04, 3.457967e-04,   0.018325 :       OK
147 :   7.442921,  -1.719227,   5.390729 |   6.068935,  -0.850970,    0.000000 | 6.927699e-04, 4.961629e-03,   0.046846 :       OK
148 :  -1.195037,   1.385499,  45.404913 |  -0.310164,   0.659253,    0.000000 | 6.244360e-04, 2.934800e-04,   0.054287 :       OK
149 :   2.226357,  -6.285389, -38.575747 |   6.064984,  -7.782842,    0.000000 | 1.153710e+00, 1.504201e+01,   7.531252 : Overflow
150 :   7.305126,  -6.717996,  13.235085 |   4.924940,  -4.311153,    0.000000 | 3.477464e-03, 3.973212e-03,   0.046248 :       OK
151 :   4.616055,  -7.313906,  25.195666 |   1.451021,  -4.926076,    0.000000 | 1.877973e-03, 5.521307e-04,   0.021847 :       OK
152 :   3.233149,  -6.437978,  59.563068 |  -2.341438,  -5.179100,    0.000000 | 3.645897e-03, 1.646598e-03,   0.040345 :       OK
153 :   2.098062,   4.985938, -41.220106 |  -1.028687,   3.891543,    0.000000 | 9.852874e-04, 2.597579e-04,   0.014509 :       OK
154 :  -4.449015,  -7.108360, -54.305435 |   0.988156,  -4.705177,    0.000000 | 3.578530e-03, 7.495254e-04,   0.043582 :       OK
155 :   4.704445,   0.274044, -13.300749 |   3.956056,  -0.680813,    0.000000 | 2.298648e-04, 1.340462e-03,   0.019416 :       OK
156 :   5.397395,   1.274334,  36.340456 |   6.126680,   4.312302,    0.000000 | 3.380617e-03, 4.800945e-03,   0.044879 :       OK
157 :   0.935241,  -3.749003, -31.416637 |   2.688185,  -4.037512,    0.000000 | 1.877146e-02, 1.247338e-02,   0.266802 :       OK
158 :  -1.577289,  -2.476615,   6.322907 |  -1.544030,  -2.212303,    0.000000 | 4.217992e-04, 2.945788e-04,   0.010917 :       OK
159 :   0.648360,  -5.733426,   9.744143 |  -0.267204,  -4.734520,    0.000000 | 3.715351e-03, 2.074893e-04,   0.044963 :       OK
160 :  -2.342249,   5.836046,  47.896159 |   1.873303,   4.814878,    0.000000 | 1.872064e-03, 7.273951e-04,   0.022282 :       OK
161 :   4.466260,   2.790274,  25.677499 |   5.157169,   4.268782,    0.000000 | 9.200432e-04, 1.111870e-03,   0.012362 :       OK
162 :   0.764709,  -4.595153, -58.747830 |   5.629941,  -6.769960,    0.000000 | 9.975677e-04, 8.292322e-04,   0.008451 :       OK
163 :  -6.405742,  -4.986048, -30.714471 |  -3.771914,  -1.758328,    0.000000 | 3.769488e-04, 8.074836e-04,   0.012261 :       OK
164 :  -3.609195,  -2.071346, -10.572174 |  -2.727024,  -1.192360,    0.000000 | 4.628176e-04, 1.059691e-03,   0.022271 :       OK
165 :  -5.173062,  -3.165943, -29.054798 |  -3.466343,  -0.700877,    0.000000 | 3.841897e-04, 1.895032e-03,   0.031320 :       OK
166 :  -2.596963,  -4.844176,  11.319687 |  -2.996418,  -4.526823,    0.000000 | 4.249206e-03, 2.811134e-03,   0.053805 :       OK
167 :   7.141307,   1.015572,  34.191323 |   7.545788,   4.747089,    0.000000 | 1.475014e+01, 1.751410e+00,  11.915677 : Overflow
168 :  -2.244971,   3.632719,  23.378683 |  -0.755692,   2.487429,    0.000000 | 1.749294e-03, 5.305286e-04,   0.040301 :       OK
169 :   4.044685,  -7.359611,  43.926586 |  -0.762417,  -5.158587,    0.000000 | 3.079938e-03, 4.535005e-04,   0.034211 :       OK
170 :   6.032619,   6.365723, -50.353132 |   1.803327,   2.468929,    0.000000 | 6.975713e-04, 5.097335e-04,   0.016180 :       OK
171 :  -5.757981,   5.241793,  20.768470 |  -3.483834,   2.868382,    0.000000 | 1.772912e-03, 2.152864e-03,   0.035390 :       OK
172 :  -1.768609,  -6.932470, -37.361797 |   2.231843,  -5.993156,    0.000000 | 3.224281e-03, 1.202285e-03,   0.030818 :       OK
173 :  -1.924216,  -4.995027, -35.356736 |   0.812699,  -3.910282,    0.000000 | 1.462634e-03, 3.048550e-04,   0.021429 :       OK
174 :   3.292792,  -0.920708, -56.931823 |   5.086212,  -4.357497,    0.000000 | 1.287657e-03, 1.502678e-03,   0.016918 :       OK
175 :   7.358353,   4.428364, -48.293216 |   4.929032,  -0.718855,    0.000000 | 3.578196e-04, 2.444159e-03,   0.028409 :       OK
176 :   0.827784,   7.665088,  11.998811 |   2.043731,   6.645229,    0.000000 | 2.616597e+00, 1.456625e+01,  19.474113 : Overflow
177 :  -1.730304,  -7.725926,  25.195185 |  -4.487673,  -7.692627,    0.000000 | 1.105594e+00, 1.510155e+01,   6.277739 : Overflow
178 :  -5.907625,  -6.322030,  13.710634 |  -6.310399,  -6.581083,    0.000000 | 1.324176e+01, 1.330524e+01,  17.762289 : Overflow
179 :   7.572226,   3.221371,  11.547372 |   6.953711,   4.002428,    0.000000 | 1.377080e+01, 3.005055e+00,  19.925552 : Overflow
180 :   3.438015,   2.726274, -45.024753 |   1.813506,   0.517617,    0.000000 | 1.195252e-04, 4.176700e-04,   0.013192 :       OK
181 :  -1.095697,   1.033462,  27.187776 |  -0.591120,   0.508119,    0.000000 | 3.916103e-04, 4.556621e-04,   0.044189 :       OK
182 :   5.557476,   6.128067,  24.757226 |   7.314926,   7.622275,    0.000000 | 1.469342e+01, 1.471547e+01,   6.715698 : Overflow
183 :   7.170000,  -5.394670,  36.666251 |   4.145717,  -1.352090,    0.000000 | 1.290728e-03, 3.964567e-03,   0.054804 :       OK
184 :  -2.606125,   6.616555,  15.910544 |  -0.702152,   5.095085,    0.000000 | 4.911828e-03, 6.800026e-04,   0.055230 :       OK
185 :   1.286972,  -4.231957,   2.279714 |   0.928993,  -3.471879,    0.000000 | 1.502778e-02, 3.990358e-03,   0.248146 :       OK
186 :   3.227539,   2.057169, -10.149952 |   2.416307,   1.256935,    0.000000 | 6.941876e-05, 1.329124e-04,   0.003147 :       OK
187 :  -1.317448,  -3.932830, -29.008878 |   0.487428,  -3.113234,    0.000000 | 7.934247e-04, 1.247998e-04,   0.014600 :       OK
188 :  -4.203315,  -1.186228,  31.413059 |  -4.592406,  -3.145485,    0.000000 | 1.440157e-02, 2.106441e-02,   0.263223 :       OK
