Circular rotation test
---------------------------------------------
Number of tests             : 500
Number of CORDIC iterations : 10
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,  error ang
12 :  -0.158541,   0.806770,  31.487039 |  -0.916551,   0.996575,    0.000000 | 2.753537e-01, 1.865690e+00,  13.052090 : Overflow
13 :  -0.333620,   0.383982,  64.009231 |  -0.809134,  -0.216728,    0.000000 | 3.383426e-04, 1.257201e-03,   0.089052 :       OK
14 :   0.151028,  -0.007814,  52.267242 |   0.162380,   0.188821,    0.000000 | 1.148721e-04, 9.851702e-05,   0.034816 :       OK
15 :   0.472879,   0.257835,   7.086934 |   0.720385,   0.517423,    0.000000 | 7.020319e-04, 9.750473e-04,   0.077614 :       OK
16 :  -0.181083,  -0.578222,   1.624796 |  -0.271081,  -0.960265,    0.000000 | 1.353705e-04, 3.754531e-05,   0.008067 :       OK
17 :  -0.431672,  -0.248314,  40.001555 |  -0.281685,  -0.770187,    0.000000 | 9.891471e-04, 3.630435e-04,   0.073615 :       OK
18 :   0.301808,   0.164704,  50.542124 |   0.106439,   0.556102,    0.000000 | 2.950962e-04, 5.692886e-05,   0.030413 :       OK
19 :  -0.591350,  -0.030172,   8.451024 |  -0.955936,  -0.192262,    0.000000 | 1.869232e-04, 9.239372e-04,   0.055391 :       OK
20 :  -0.251273,  -0.163312,   9.449425 |  -0.364019,  -0.333221,    0.000000 | 2.775314e-04, 3.039019e-04,   0.047782 :       OK
21 :   0.388655,  -0.158285,  51.726662 |   0.601071,   0.341003,    0.000000 | 5.696029e-04, 1.006868e-03,   0.095911 :       OK
22 :   0.201247,  -0.461206,  19.328729 |   0.564110,  -0.606996,    0.000000 | 9.707965e-04, 9.043774e-04,   0.091738 :       OK
23 :  -0.377172,  -0.653374, -15.796278 |  -0.890549,  -0.866240,    0.000000 | 1.860003e+00, 5.900383e-01,  29.203722 : Overflow
24 :  -0.296842,   0.350285, -85.250218 |   0.534378,   0.534914,    0.000000 | 4.382505e-04, 4.388507e-04,   0.046998 :       OK
25 :  -0.441365,   0.068022,  13.233187 |  -0.733164,  -0.057339,    0.000000 | 3.430984e-05, 4.464375e-04,   0.034885 :       OK
26 :  -0.258081,   0.687731, -68.394253 |   0.896465,   0.812154,    0.000000 | 7.477912e-04, 8.235127e-04,   0.052688 :       OK
27 :  -0.628675,  -0.064741,  14.903639 |  -0.973030,  -0.369294,    0.000000 | 1.959525e+00, 1.855051e-01,  10.504934 : Overflow
28 :  -0.256397,   0.042929,  -8.890781 |  -0.406226,   0.135099,    0.000000 | 1.496241e-04, 4.482093e-04,   0.063241 :       OK
29 :   0.340822,  -0.359454, -52.144615 |  -0.122945,  -0.806396,    0.000000 | 9.324807e-04, 1.410919e-04,   0.066243 :       OK
30 :  -0.360337,   0.184773,  26.686878 |  -0.666832,   0.005365,    0.000000 | 8.651796e-06, 1.281016e-03,   0.110067 :       OK
31 :  -0.621922,   0.170128, -47.071984 |  -0.492395,   0.940708,    0.000000 | 4.366263e-01, 1.922762e+00,  24.493067 : Overflow
32 :  -0.203534,  -0.498203,  64.530442 |   0.596553,  -0.655405,    0.000000 | 1.764681e-04, 1.614250e-04,   0.015462 :       OK
33 :   0.044687,   0.302970, -72.084754 |   0.497365,   0.083451,    0.000000 | 2.617766e-05, 1.581065e-04,   0.018207 :       OK
34 :   0.341454,   0.191866, -40.186088 |   0.633444,  -0.121455,    0.000000 | 7.227548e-05, 3.797390e-04,   0.034339 :       OK
35 :  -0.297725,   0.155885, -76.883613 |   0.138748,   0.535745,    0.000000 | 7.661806e-04, 1.974784e-04,   0.081916 :       OK
36 :   0.390946,   0.219511,  80.574580 |  -0.251172,   0.694300,    0.000000 | 2.879454e-04, 1.047347e-04,   0.023777 :       OK
37 :  -0.194382,  -0.268108,  80.926385 |   0.385504,  -0.385723,    0.000000 | 7.024973e-04, 7.003323e-04,   0.104219 :       OK
38 :   0.477324,   0.184723, -10.553792 |   0.828457,   0.155079,    0.000000 | 9.057782e-05, 4.801947e-04,   0.033219 :       OK
39 :  -0.248027,  -0.438533,  84.819386 |   0.682329,  -0.471981,    0.000000 | 2.483250e-04, 3.601250e-04,   0.030209 :       OK
40 :   0.448912,  -0.227920, -61.419905 |   0.024052,  -0.828725,    0.000000 | 1.040878e-04, 3.554546e-06,   0.007197 :       OK
41 :   0.390400,   0.670704, -13.084197 |   0.876242,   0.930275,    0.000000 | 1.815138e+00, 6.499703e-01,  31.915803 : Overflow
42 :   0.147209,  -0.066294,  66.899246 |   0.195529,   0.180147,    0.000000 | 3.163054e-04, 3.424615e-04,   0.100466 :       OK
43 :   0.560823,  -0.232318,  22.030049 |   0.999611,  -0.008226,    0.000000 | 9.276858e-06, 1.308684e-03,   0.075011 :       OK
44 :  -0.177869,   0.389947,  58.044734 |  -0.699862,   0.091342,    0.000000 | 1.860981e-05, 1.461725e-04,   0.011962 :       OK
45 :  -0.321552,  -0.418264,  70.063674 |   0.466950,  -0.732644,    0.000000 | 8.719364e-04, 5.571136e-04,   0.068238 :       OK
46 :  -0.532182,   0.300311,  72.332568 |  -0.737187,  -0.684952,    0.000000 | 6.898554e-05, 7.519446e-05,   0.005810 :       OK
47 :   0.466304,   0.137532,  63.710050 |   0.137054,   0.788775,    0.000000 | 8.172287e-04, 1.429518e-04,   0.059374 :       OK
48 :   0.180775,  -0.377409,  41.716380 |   0.635788,  -0.265821,    0.000000 | 8.446561e-06, 2.133635e-05,   0.001908 :       OK
49 :  -0.162435,   0.569312, -14.442090 |  -0.025220,   0.974607,    0.000000 | 1.683001e-03, 4.147803e-05,   0.098938 :       OK
50 :   0.087798,  -0.321495, -57.852974 |  -0.371326,  -0.404119,    0.000000 | 1.419412e-04, 1.299037e-04,   0.020087 :       OK
51 :  -0.135508,   0.667355,  45.962001 |  -0.945148,   0.603518,    0.000000 | 1.876362e+00, 4.731028e-01,  25.603051 : Overflow
52 :   0.195447,  -0.503853,  -6.959537 |   0.218946,  -0.862610,    0.000000 | 2.826596e-04, 7.237738e-05,   0.018785 :       OK
53 :  -0.391729,   0.407707, -37.122320 |  -0.109157,   0.924656,    0.000000 | 1.545997e-03, 1.844143e-04,   0.095811 :       OK
54 :   0.322309,   0.243589,   2.983900 |   0.509164,   0.428218,    0.000000 | 6.178389e-05, 7.413097e-05,   0.008311 :       OK
55 :  -0.448765,   0.105657, -31.544955 |  -0.538778,   0.534907,    0.000000 | 4.593255e-04, 4.637322e-04,   0.049258 :       OK
56 :   0.540143,  -0.445733,  75.076745 |   0.938324,   0.670458,    0.000000 | 7.640195e-04, 1.071820e-03,   0.065395 :       OK
57 :  -0.483447,  -0.004092,  27.286151 |  -0.704446,  -0.370958,    0.000000 | 2.693998e-04, 5.131262e-04,   0.041708 :       OK
58 :  -0.543396,  -0.429942,  88.631445 |   0.686437,  -0.911497,    0.000000 | 3.132224e-01, 1.881433e+00,  17.066394 : Overflow
59 :  -0.184444,  -0.465756, -19.872655 |  -0.546371,  -0.618065,    0.000000 | 4.961473e-05, 4.315658e-05,   0.004567 :       OK
60 :  -0.152150,   0.135266, -54.487939 |   0.035778,   0.333340,    0.000000 | 2.979207e-04, 3.232564e-05,   0.051214 :       OK
61 :  -0.186939,   0.583499, -73.585596 |   0.834729,   0.566825,    0.000000 | 8.286070e-04, 1.223306e-03,   0.083901 :       OK
62 :  -0.033640,   0.531850,  42.898294 |  -0.636758,   0.603891,    0.000000 | 6.433761e-04, 6.768571e-04,   0.060969 :       OK
63 :  -0.572810,   0.194698, -31.012405 |  -0.643253,   0.760792,    0.000000 | 4.741806e-04, 3.998404e-04,   0.035671 :       OK
64 :  -0.542329,  -0.104183,  35.509635 |  -0.627336,  -0.658397,    0.000000 | 5.600116e-04, 5.348467e-04,   0.048789 :       OK
65 :  -0.114908,  -0.011220, -25.322331 |  -0.178946,   0.064233,    0.000000 | 9.394872e-05, 2.626924e-04,   0.084075 :       OK
66 :   0.150166,  -0.428170,   8.513184 |   0.348943,  -0.660717,    0.000000 | 7.828582e-05, 4.080049e-05,   0.006769 :       OK
67 :   0.332527,  -0.085976,  28.258258 |   0.549363,   0.134548,    0.000000 | 2.483750e-04, 1.008605e-03,   0.105225 :       OK
68 :  -0.435769,  -0.232962,  80.330387 |   0.257648,  -0.771850,    0.000000 | 5.946357e-04, 1.992941e-04,   0.044159 :       OK
69 :   0.186825,  -0.153697,  15.222014 |   0.363316,  -0.163443,    0.000000 | 3.033632e-05, 6.679872e-05,   0.010551 :       OK
70 :  -0.208739,  -0.447041,  13.132947 |  -0.167487,  -0.795018,    0.000000 | 9.070584e-04, 1.900234e-04,   0.065355 :       OK
71 :  -0.033575,  -0.525836, -18.957252 |  -0.333597,  -0.800997,    0.000000 | 2.179604e-04, 9.140734e-05,   0.015607 :       OK
72 :  -0.504181,   0.333120, -20.019117 |  -0.592306,   0.799651,    0.000000 | 1.014895e-03, 7.499537e-04,   0.072657 :       OK
73 :   0.244331,  -0.067528,  65.751383 |   0.266637,   0.321185,    0.000000 | 5.287075e-04, 4.399966e-04,   0.094410 :       OK
74 :  -0.484951,  -0.135768,  54.976380 |  -0.275235,  -0.782299,    0.000000 | 1.419181e-04, 4.935749e-05,   0.010381 :       OK
75 :  -0.465978,  -0.228558,  86.571700 |   0.329819,  -0.788489,    0.000000 | 6.984610e-05, 2.981001e-05,   0.005091 :       OK
76 :  -0.369290,   0.174453, -16.608260 |  -0.500649,   0.449118,    0.000000 | 4.223358e-04, 4.718811e-04,   0.053948 :       OK
77 :  -0.652684,   0.041194,  41.436674 |  -0.850669,  -0.660446,    0.000000 | 6.672477e-04, 8.574192e-04,   0.057801 :       OK
78 :  -0.477438,  -0.019310,  21.973997 |  -0.717211,  -0.323683,    0.000000 | 5.225768e-04, 1.161637e-03,   0.092749 :       OK
79 :   0.206732,   0.134288,  50.564959 |   0.045450,   0.403404,    0.000000 | 3.748575e-04, 4.266899e-05,   0.053248 :       OK
80 :  -0.417640,  -0.424948, -86.221440 |  -0.743589,   0.640142,    0.000000 | 1.029312e-03, 1.198556e-03,   0.092257 :       OK
81 :   0.215069,  -0.265277,  44.298538 |   0.558574,  -0.065308,    0.000000 | 1.177759e-04, 1.018441e-03,   0.104451 :       OK
82 :   0.229969,  -0.366557,  80.160374 |   0.659470,   0.269978,    0.000000 | 4.440801e-05, 1.096952e-04,   0.009515 :       OK
83 :   0.270268,  -0.412328, -66.516996 |  -0.445421,  -0.678773,    0.000000 | 4.153976e-04, 2.733896e-04,   0.035095 :       OK
84 :   0.194526,   0.179908, -16.821228 |   0.392366,   0.190887,    0.000000 | 1.439683e-04, 2.950078e-04,   0.043104 :       OK
85 :  -0.095482,  -0.167226, -80.300992 |  -0.297935,   0.108595,    0.000000 | 1.398436e-04, 3.823135e-04,   0.073553 :       OK
86 :   0.272819,   0.520619,  56.218179 |  -0.462776,   0.850118,    0.000000 | 1.650553e-03, 9.012884e-04,   0.111322 :       OK
87 :   0.409953,   0.016468,   8.628670 |   0.663384,   0.128096,    0.000000 | 2.285120e-04, 1.175557e-03,   0.101556 :       OK
88 :   0.593868,  -0.059306,  85.894505 |   0.167427,   0.968457,    0.000000 | 1.838186e-04, 3.112740e-05,   0.010869 :       OK
89 :  -0.556213,  -0.520957,  88.182933 |   0.828417,  -0.942691,    0.000000 | 8.636727e-01, 1.865521e+00,  43.182933 : Overflow
90 :   0.024281,  -0.071533, -41.163635 |  -0.047433,  -0.115001,    0.000000 | 2.149606e-04, 8.898308e-05,   0.107154 :       OK
91 :  -0.018290,   0.439438,  40.311261 |  -0.491124,   0.532327,    0.000000 | 5.967803e-04, 5.518361e-04,   0.064300 :       OK
92 :  -0.558354,  -0.295314,   0.181346 |  -0.917932,  -0.489219,    0.000000 | 9.385069e-04, 1.755484e-03,   0.109650 :       OK
93 :  -0.235596,   0.059278, -59.214258 |  -0.114713,   0.383264,    0.000000 | 2.575828e-04, 7.745590e-05,   0.038522 :       OK
94 :  -0.174996,   0.036571, -25.533646 |  -0.234072,   0.178557,    0.000000 | 2.475347e-04, 3.252744e-04,   0.079550 :       OK
95 :  -0.278417,  -0.153346, -11.590820 |  -0.499874,  -0.155255,    0.000000 | 1.101690e-04, 3.562838e-04,   0.040822 :       OK
96 :   0.308843,  -0.351125,  57.677918 |   0.760559,   0.120626,    0.000000 | 1.439028e-04, 9.140001e-04,   0.068843 :       OK
97 :   0.278858,   0.578944,  65.290717 |  -0.674133,   0.815695,    0.000000 | 1.159276e-03, 9.558307e-04,   0.081352 :       OK
98 :   0.415709,  -0.017149,  41.951354 |   0.528005,   0.436634,    0.000000 | 7.020603e-05, 8.559442e-05,   0.009258 :       OK
99 :  -0.123715,  -0.410013, -41.112013 |  -0.597457,  -0.374750,    0.000000 | 4.261361e-04, 6.776840e-04,   0.065036 :       OK
100 :  -0.149380,   0.173187,  45.404913 |  -0.375795,   0.025068,    0.000000 | 1.416972e-05, 2.079771e-04,   0.031712 :       OK
101 :  -0.633056,   0.003525, -62.935559 |  -0.469156,   0.930975,    0.000000 | 7.102423e-04, 3.568374e-04,   0.043684 :       OK
102 :  -0.414885,   0.382161, -65.126874 |   0.283584,   0.884543,    0.000000 | 1.273031e-03, 4.097643e-04,   0.082491 :       OK
103 :  -0.348349,   0.501550, -79.118220 |   0.702787,   0.719255,    0.000000 | 1.085869e-03, 1.058515e-03,   0.086401 :       OK
104 :  -0.161923,  -0.715290,  59.745775 |   0.883130,  -0.823807,    0.000000 | 1.454106e-03, 1.562709e-03,   0.101268 :       OK
105 :   0.305564,   0.295486,  70.139412 |  -0.286702,   0.638574,    0.000000 | 8.376827e-05, 3.711511e-05,   0.007499 :       OK
106 :   0.588056,   0.034255, -13.300749 |   0.955389,  -0.167892,    0.000000 | 2.980605e-04, 1.708635e-03,   0.102446 :       OK
107 :  -0.005161,  -0.423008,  82.181553 |   0.688961,  -0.103180,    0.000000 | 3.204587e-05, 2.107629e-04,   0.017533 :       OK
108 :   0.674674,   0.159292,  36.340456 |   0.739500,   0.869672,    0.000000 | 2.226446e-04, 1.883186e-04,   0.014636 :       OK
109 :   0.116905,  -0.468625, -31.416637 |  -0.237970,  -0.758930,    0.000000 | 1.046826e-03, 3.295658e-04,   0.079059 :       OK
110 :  -0.197161,  -0.309577,   6.322907 |  -0.266557,  -0.542455,    0.000000 | 5.070567e-04, 2.498861e-04,   0.053587 :       OK
111 :  -0.155164,  -0.169076,  72.567950 |   0.189094,  -0.327193,    0.000000 | 9.938759e-05, 5.714169e-05,   0.017381 :       OK
112 :   0.558283,   0.348784,  25.677499 |   0.579693,   0.916006,    0.000000 | 6.885357e-06, 3.541852e-06,   0.000408 :       OK
113 :   0.426395,   0.487209, -73.996312 |   0.964810,  -0.453760,    0.000000 | 8.135725e-04, 1.735505e-03,   0.103003 :       OK
114 :   0.095589,  -0.574394, -58.747830 |  -0.726967,  -0.625303,    0.000000 | 2.156724e-04, 2.497164e-04,   0.019715 :       OK
115 :  -0.451149,  -0.258918, -10.572174 |  -0.808552,  -0.282829,    0.000000 | 2.555556e-04, 7.278820e-04,   0.051600 :       OK
116 :  -0.280621,   0.454090,  23.378683 |  -0.720900,   0.503016,    0.000000 | 6.067634e-04, 8.716859e-04,   0.069225 :       OK
117 :  -0.240527,  -0.624378, -35.356736 |  -0.918022,  -0.609361,    0.000000 | 1.105153e-03, 1.669504e-03,   0.104111 :       OK
118 :   0.082994,  -0.037318,  81.142555 |   0.081765,   0.125579,    0.000000 | 2.115088e-04, 1.380819e-04,   0.096578 :       OK
119 :   0.411599,  -0.115089, -56.931823 |   0.211010,  -0.671426,    0.000000 | 8.100005e-04, 2.535536e-04,   0.069096 :       OK
120 :  -0.669417,   0.237414,  70.633648 |  -0.734396,  -0.910348,    0.000000 | 8.590070e-04, 6.946044e-04,   0.054115 :       OK
121 :   0.429752,   0.340784, -45.024753 |   0.897195,  -0.103985,    0.000000 | 1.778521e-04, 1.551248e-03,   0.099050 :       OK
122 :  -0.136962,   0.129183,  27.187776 |  -0.297824,   0.086176,    0.000000 | 8.489643e-05, 2.946514e-04,   0.056667 :       OK
123 :   0.160871,  -0.528995,   2.279714 |   0.299359,  -0.859900,    0.000000 | 3.684667e-04, 1.289762e-04,   0.024566 :       OK
124 :   0.403442,   0.257146, -10.149952 |   0.728599,   0.299752,    0.000000 | 4.039567e-04, 9.787016e-04,   0.077000 :       OK
125 :  -0.164681,  -0.491604, -29.008878 |  -0.629757,  -0.576478,    0.000000 | 2.514629e-04, 2.756279e-04,   0.025039 :       OK
126 :  -0.525414,  -0.148278,  31.413059 |  -0.611149,  -0.659353,    0.000000 | 9.520112e-04, 8.803583e-04,   0.082638 :       OK
127 :   0.034433,  -0.197443,  25.739736 |   0.192281,  -0.268255,    0.000000 | 2.897151e-04, 2.071680e-04,   0.061829 :       OK
128 :   0.256176,   0.454853, -44.551523 |   0.826110,   0.237820,    0.000000 | 3.112115e-04, 1.085707e-03,   0.075276 :       OK
129 :   0.591125,   0.415885, -70.162652 |   0.974561,  -0.683268,    0.000000 | 1.967551e+00, 5.080278e-01,  25.162652 : Overflow
130 :  -0.626254,  -0.000067, -57.555115 |  -0.553367,   0.870254,    0.000000 | 8.201864e-04, 5.202093e-04,   0.053960 :       OK
131 :  -0.470549,  -0.374910, -58.044165 |  -0.933943,   0.330691,    0.000000 | 7.294235e-05, 2.040432e-04,   0.012531 :       OK
132 :  -0.341989,  -0.099460,  50.662072 |  -0.230317,  -0.539394,    0.000000 | 6.918086e-04, 2.944674e-04,   0.073450 :       OK
133 :  -0.465336,   0.373626,  50.469828 |  -0.962289,  -0.199425,    0.000000 | 1.466485e-04, 7.032559e-04,   0.041884 :       OK
134 :  -0.161605,  -0.491716, -36.038076 |  -0.691582,  -0.498209,    0.000000 | 8.090963e-04, 1.125994e-03,   0.093205 :       OK
135 :   0.604252,  -0.206389, -39.837860 |   0.546337,  -0.898426,    0.000000 | 1.413511e-03, 8.572600e-04,   0.090079 :       OK
136 :   0.237719,  -0.008978,  39.786707 |   0.310276,   0.239151,    0.000000 | 3.441615e-04, 4.475926e-04,   0.082579 :       OK
137 :  -0.467338,   0.157652, -39.480059 |  -0.428943,   0.689698,    0.000000 | 9.934580e-05, 6.117004e-05,   0.008230 :       OK
138 :   0.408082,  -0.235074, -46.875994 |   0.176831,  -0.755107,    0.000000 | 8.287775e-04, 1.930986e-04,   0.062869 :       OK
139 :  -0.117656,   0.639871, -68.671210 |   0.911073,   0.563738,    0.000000 | 1.043435e-03, 1.681556e-03,   0.105833 :       OK
140 :   0.067849,  -0.415616,  48.021022 |   0.583523,  -0.374720,    0.000000 | 2.407134e-04, 3.759270e-04,   0.036881 :       OK
141 :   0.338858,   0.621634, -28.862194 |   0.982839,   0.627166,    0.000000 | 1.972979e+00, 6.891990e-02,   3.608998 : Overflow
142 :   0.104737,   0.218405, -62.155286 |   0.398578,   0.015482,    0.000000 | 1.978846e-05, 4.950132e-04,   0.071162 :       OK
143 :   0.504065,   0.301739, -32.033200 |   0.967244,  -0.019045,    0.000000 | 2.807565e-05, 1.517627e-03,   0.089896 :       OK
144 :   0.060592,  -0.141196,  55.389643 |   0.248043,  -0.049944,    0.000000 | 3.876542e-05, 1.937274e-04,   0.044739 :       OK
145 :   0.145080,  -0.429281,  -6.513232 |   0.157182,  -0.729461,    0.000000 | 2.557947e-04, 5.564971e-05,   0.020100 :       OK
146 :  -0.185385,  -0.100072, -52.838887 |  -0.315742,   0.143748,    0.000000 | 2.232251e-04, 4.918623e-04,   0.089207 :       OK
147 :  -0.039122,   0.011225,  -7.814746 |  -0.061314,   0.027073,    0.000000 | 1.007670e-05, 2.270514e-05,   0.021235 :       OK
148 :  -0.422607,   0.455236,  15.378373 |  -0.869820,   0.538268,    0.000000 | 5.335788e-04, 8.644356e-04,   0.056901 :       OK
149 :   0.601333,  -0.068057, -20.690512 |   0.886785,  -0.454721,    0.000000 | 5.782068e-04, 1.124457e-03,   0.072694 :       OK
150 :   0.135093,  -0.558714,  26.649648 |   0.611515,  -0.722542,    0.000000 | 9.658177e-04, 8.155141e-04,   0.076513 :       OK
151 :  -0.443380,  -0.080483,  49.653470 |  -0.371687,  -0.642277,    0.000000 | 3.251432e-04, 1.888162e-04,   0.029030 :       OK
152 :   0.128608,  -0.404719, -42.433248 |  -0.293378,  -0.634800,    0.000000 | 4.827093e-04, 2.223756e-04,   0.043544 :       OK
153 :  -0.261207,  -0.200697,  56.820238 |   0.041210,  -0.540885,    0.000000 | 4.071985e-04, 3.052575e-05,   0.043130 :       OK
154 :  -0.319469,   0.349993, -31.994916 |  -0.140795,   0.767548,    0.000000 | 6.912609e-04, 1.276272e-04,   0.051612 :       OK
155 :   0.067901,   0.125781,  46.124117 |  -0.071809,   0.224164,    0.000000 | 3.111467e-04, 9.927801e-05,   0.079499 :       OK
156 :  -0.098673,   0.097833, -77.730439 |   0.122897,   0.193016,    0.000000 | 1.129950e-04, 7.172685e-05,   0.033513 :       OK
157 :  -0.474575,   0.616589,  12.946617 |  -0.989132,   0.814471,    0.000000 | 1.897968e+00, 6.724563e-01,  32.053383 : Overflow
158 :   0.577610,  -0.094322,  28.042310 |   0.912538,   0.310084,    0.000000 | 5.288149e-04, 1.550004e-03,   0.097361 :       OK
159 :  -0.080978,   0.431028, -43.622815 |   0.393163,   0.605822,    0.000000 | 1.148976e-03, 7.477538e-04,   0.108755 :       OK
160 :   0.575564,  -0.186357,   8.135589 |   0.981706,  -0.169665,    0.000000 | 2.289135e-04, 1.315549e-03,   0.076795 :       OK
161 :  -0.428012,  -0.154921,  -6.759928 |  -0.729964,  -0.170379,    0.000000 | 1.284988e-04, 5.475096e-04,   0.042987 :       OK
162 :   0.434616,  -0.474666,  20.225817 |   0.941813,  -0.486027,    0.000000 | 1.928883e+00, 2.136497e-01,  12.245375 : Overflow
163 :   0.532876,   0.066033,  67.339289 |   0.237738,   0.851672,    0.000000 | 1.606393e-03, 4.461973e-04,   0.108031 :       OK
164 :  -0.616909,  -0.081363,  67.168275 |  -0.270709,  -0.988294,    0.000000 | 9.532871e-04, 2.599510e-04,   0.055249 :       OK
165 :  -0.348989,  -0.451372,  80.796126 |   0.641809,  -0.686192,    0.000000 | 3.113906e-04, 2.922009e-04,   0.026040 :       OK
166 :   0.301245,  -0.047831,  86.092300 |   0.112391,   0.489557,    0.000000 | 3.152413e-04, 7.193767e-05,   0.036883 :       OK
167 :  -0.133880,  -0.058189, -58.971555 |  -0.195756,   0.139527,    0.000000 | 4.766887e-05, 6.716645e-05,   0.019631 :       OK
168 :   0.167927,   0.500013, -54.607917 |   0.831404,   0.251454,    0.000000 | 3.029100e-04, 9.974695e-04,   0.068764 :       OK
169 :  -0.089793,  -0.374308, -80.535641 |  -0.632320,   0.044498,    0.000000 | 4.948896e-05, 6.920860e-04,   0.062716 :       OK
170 :   0.243225,   0.212796, -36.125430 |   0.530117,   0.046911,    0.000000 | 4.451935e-06, 5.416879e-05,   0.005851 :       OK
171 :  -0.076484,   0.108778,  87.669017 |  -0.184105,  -0.118560,    0.000000 | 5.539300e-05, 8.571569e-05,   0.026703 :       OK
172 :   0.133831,   0.200131,  61.739715 |  -0.185938,   0.350161,    0.000000 | 6.311105e-04, 3.341097e-04,   0.103198 :       OK
173 :   0.346995,  -0.452607,  -8.023343 |   0.461794,  -0.817795,    0.000000 | 5.063850e-04, 2.850555e-04,   0.035451 :       OK
174 :  -0.091561,   0.440105,  17.781980 |  -0.364911,   0.644076,    0.000000 | 1.223229e-03, 6.909648e-04,   0.108737 :       OK
175 :   0.415771,   0.473797, -65.175234 |   0.995591,  -0.293833,    0.000000 | 1.980320e+00, 1.367206e-01,   7.646426 : Overflow
176 :  -0.188122,  -0.067110, -71.455658 |  -0.203301,   0.258559,    0.000000 | 8.635099e-05, 6.760886e-05,   0.019104 :       OK
177 :  -0.240281,   0.415225,  20.144903 |  -0.606969,   0.505673,    0.000000 | 4.695442e-04, 5.622906e-04,   0.053129 :       OK
178 :  -0.054740,  -0.347551,  -4.971099 |  -0.139399,  -0.562370,    0.000000 | 4.369571e-04, 1.077540e-04,   0.044505 :       OK
179 :  -0.067871,   0.009182,  51.755696 |  -0.081061,  -0.078420,    0.000000 | 1.354872e-04, 1.397055e-04,   0.098865 :       OK
180 :  -0.278446,   0.064365, -50.301257 |  -0.211336,   0.420506,    0.000000 | 3.939054e-05, 2.013263e-05,   0.005385 :       OK
181 :  -0.295343,   0.098112,  46.993522 |  -0.449886,  -0.245462,    0.000000 | 2.336748e-04, 4.294500e-04,   0.054659 :       OK
182 :  -0.105936,  -0.188105, -36.561696 |  -0.324644,  -0.144889,    0.000000 | 4.328761e-05, 9.758642e-05,   0.017205 :       OK
183 :   0.091393,   0.347518, -75.556929 |   0.591730,  -0.003009,    0.000000 | 3.903751e-06, 1.011672e-03,   0.097957 :       OK
184 :   0.485801,   0.421381,  12.268357 |   0.634278,   0.848058,    0.000000 | 5.143688e-04, 3.836219e-04,   0.034716 :       OK
185 :  -0.240833,  -0.178563,  37.799678 |  -0.133148,  -0.475419,    0.000000 | 8.438766e-04, 2.374734e-04,   0.101737 :       OK
186 :   0.223479,   0.105951,   7.587184 |   0.341758,   0.221540,    0.000000 | 9.685891e-05, 1.488724e-04,   0.024986 :       OK
187 :  -0.099172,   0.183552, -81.712435 |   0.275570,   0.205176,    0.000000 | 1.758317e-05, 2.398541e-05,   0.004960 :       OK
188 :   0.202941,   0.306638, -30.106626 |   0.542403,   0.269202,    0.000000 | 2.171571e-04, 4.388529e-04,   0.046330 :       OK
